id,first_name,last_name,email,gender,date,product,price,quantity,Total
27,Basile,McCarlie,bmccarlieq@altervista.org,Female,2021-10-22,Nescafe - Frothy French Vanilla,12.9,3,38.7
28,Kessiah,Nerval,knervalr@mapy.cz,Polygender,2021-10-22,"Red Snapper - Fresh, Whole",14.5,1,14.5
29,Mame,Kingsbury,mkingsburys@weebly.com,Male,2021-10-20,Beef - Diced,6.0,2,12.0
30,Johnathan,Wipper,jwippert@arstechnica.com,Genderfluid,2021-10-21,Cookie Dough - Oatmeal Rasin,3.5,3,10.5
31,Cammy,Oldcote,coldcoteu@people.com.cn,Polygender,2021-10-20,Cake Slab,10.5,1,10.5
32,Hayyim,Phair,hphairv@sitemeter.com,Bigender,2021-10-18,Goulash Seasoning,8.3,3,24.900000000000002
33,Lizabeth,Affleck,laffleckw@dell.com,Bigender,2021-10-19,Anisette - Mcguiness,14.8,5,74.0
34,Morton,Dicey,mdiceyx@tumblr.com,Male,2021-10-19,Towel Dispenser,14.2,4,56.8
35,Marinna,Scopyn,mscopyny@geocities.com,Male,2021-10-23,Chips - Miss Vickies,19.3,5,96.5
36,Sascha,Sellars,ssellarsz@artisteer.com,Bigender,2021-10-18,Bagelers - Cinn / Brown Sugar,4.5,4,18.0
37,Aloysia,Batiste,abatiste10@vinaora.com,Female,2021-10-19,Beef - Short Loin,16.7,4,66.8
38,Chaim,Sevitt,csevitt11@blog.com,Bigender,2021-10-19,Dried Cherries,8.1,4,32.4
39,Maddi,Duell,mduell12@bravesites.com,Bigender,2021-10-18,Appetizer - Shrimp Puff,18.5,1,18.5
40,Alia,Guittet,aguittet13@sbwire.com,Polygender,2021-10-21,Extract - Almond,18.8,4,75.2
41,Herve,Caro,hcaro14@linkedin.com,Bigender,2021-10-24,Sauce - Oyster,3.8,1,3.8
42,Ursuline,Scourgie,uscourgie15@comcast.net,Agender,2021-10-21,Container - Hngd Cll Blk 7x7x3,4.9,1,4.9
43,Banky,Brearley,bbrearley16@edublogs.org,Genderfluid,2021-10-24,Yoplait Drink,13.5,4,54.0
44,Chantal,Vescovini,cvescovini17@paypal.com,Genderqueer,2021-10-19,Wine - Taylors Reserve,15.1,4,60.4
45,Theresita,Gliddon,tgliddon18@webs.com,Polygender,2021-10-20,Juice - Mango,14.8,1,14.8
46,Dulciana,Snooks,dsnooks19@so-net.ne.jp,Genderfluid,2021-10-20,"Soup - Knorr, Chicken Noodle",3.7,5,18.5
47,Arlyne,Charnley,acharnley1a@vinaora.com,Male,2021-10-18,"Pepper - Paprika, Hungarian",14.3,1,14.3
48,Bealle,Dishmon,bdishmon1b@latimes.com,Polygender,2021-10-24,Yoghurt Tubes,3.4,1,3.4
49,Hyacinthie,Curee,hcuree1c@yale.edu,Non-binary,2021-10-23,"Pork - Loin, Bone - In",8.9,3,26.700000000000003
50,Rosabella,Kroon,rkroon1d@amazon.de,Genderqueer,2021-10-19,Oil - Peanut,6.4,4,25.6
51,Ciel,Budik,cbudik1e@ovh.net,Non-binary,2021-10-18,"Vermacelli - Sprinkles, Assorted",10.1,1,10.1
52,Seth,Baudou,sbaudou1f@ebay.co.uk,Female,2021-10-20,Higashimaru Usukuchi Soy,10.3,5,51.5
53,Annalise,Hessing,ahessing1g@ycombinator.com,Male,2021-10-18,Sole - Iqf,8.2,1,8.2
54,Dalli,Sprott,dsprott1h@businesswire.com,Polygender,2021-10-20,Wine - Black Tower Qr,19.5,2,39.0
55,Florry,Gori,fgori1i@sfgate.com,Male,2021-10-19,Beef - Top Butt,19.4,4,77.6
56,Allegra,Maber,amaber1j@about.com,Genderqueer,2021-10-21,"Placemat - Scallop, White",4.8,4,19.2
57,Nickie,Collicott,ncollicott1k@narod.ru,Genderfluid,2021-10-18,Muffin Orange Individual,4.5,1,4.5
58,Orland,Harriagn,oharriagn1l@nymag.com,Female,2021-10-19,"Beans - Turtle, Black, Dry",3.6,1,3.6
59,Ruby,Westmarland,rwestmarland1m@washington.edu,Male,2021-10-22,Sea Bass - Whole,18.1,1,18.1
60,Giacinta,Claesens,gclaesens1n@webeden.co.uk,Bigender,2021-10-20,Extract - Lemon,16.5,4,66.0
61,Holli,Mulholland,hmulholland1o@printfriendly.com,Polygender,2021-10-18,"Red Snapper - Fresh, Whole",11.6,3,34.8
62,Roxanne,Jacobbe,rjacobbe1p@economist.com,Agender,2021-10-18,Turkey Tenderloin Frozen,9.5,1,9.5
63,Vance,Marquot,vmarquot1q@liveinternet.ru,Polygender,2021-10-18,Pork - Back Ribs,11.6,3,34.8
64,Tripp,Mattholie,tmattholie1r@bravesites.com,Bigender,2021-10-19,"Bread - Roll, Italian",6.0,1,6.0
65,Michale,Lattimore,mlattimore1s@washingtonpost.com,Polygender,2021-10-24,"Lamb - Whole, Frozen",11.0,2,22.0
66,Stinky,Enefer,senefer1t@eventbrite.com,Male,2021-10-19,Melon - Cantaloupe,7.2,1,7.2
67,Oralie,Gealle,ogealle1u@gmpg.org,Polygender,2021-10-21,"Lamb - Pieces, Diced",15.8,4,63.2
68,Raine,Couser,rcouser1v@adobe.com,Bigender,2021-10-24,Cherries - Fresh,6.7,2,13.4
69,Clem,Kleinber,ckleinber1w@gravatar.com,Agender,2021-10-23,Gelatine Leaves - Bulk,15.6,5,78.0
70,Dareen,Swetenham,dswetenham1x@godaddy.com,Polygender,2021-10-19,Monkfish - Fresh,19.4,1,19.4
71,Adela,Redholes,aredholes1y@livejournal.com,Genderfluid,2021-10-23,Beef - Short Loin,17.0,1,17.0
72,Marge,Cosens,mcosens1z@mayoclinic.com,Female,2021-10-18,Chinese Lemon Pork,3.3,2,6.6
73,Drusi,Wakeham,dwakeham20@census.gov,Agender,2021-10-24,Compound - Rum,10.7,1,10.7
74,Vanni,Justis,vjustis21@patch.com,Genderfluid,2021-10-18,Oven Mitt - 13 Inch,19.0,1,19.0
75,Darcy,Allawy,dallawy22@squarespace.com,Bigender,2021-10-22,Bread - White Mini Epi,5.7,3,17.1
76,Liz,Masser,lmasser23@europa.eu,Genderfluid,2021-10-22,Appetizer - Seafood Assortment,5.3,2,10.6
77,Veradis,Duncombe,vduncombe24@amazon.co.jp,Non-binary,2021-10-20,The Pop Shoppe - Cream Soda,11.1,3,33.3
78,Germaine,Crissil,gcrissil25@hugedomains.com,Female,2021-10-21,Soup - Campbellschix Stew,2.9,1,2.9
79,Tania,Aylin,taylin26@mlb.com,Male,2021-10-20,Higashimaru Usukuchi Soy,3.3,2,6.6
80,Alessandra,Van der Son,avanderson27@fda.gov,Genderfluid,2021-10-23,Rice - Jasmine Sented,12.7,5,63.5
81,Earle,Gercke,egercke28@globo.com,Polygender,2021-10-22,Sardines,16.0,4,64.0
82,Ransom,Di Angelo,rdiangelo29@amazon.com,Genderqueer,2021-10-22,Dried Cherries,13.1,5,65.5
83,Bernete,Uc,buc2a@tamu.edu,Non-binary,2021-10-23,Pepper - Orange,1.4,5,7.0
84,Moyna,Slowgrave,mslowgrave2b@rakuten.co.jp,Female,2021-10-18,"Juice - Clamato, 341 Ml",3.0,3,9.0
85,Sharai,McAvinchey,smcavinchey2c@newsvine.com,Non-binary,2021-10-24,Soap - Mr.clean Floor Soap,12.4,3,37.2
86,Henrik,Dalli,hdalli2d@live.com,Bigender,2021-10-24,Table Cloth 62x120 White,13.3,1,13.3
87,Meredeth,Rusling,mrusling2e@privacy.gov.au,Genderfluid,2021-10-24,Bread - Rye,8.4,5,42.0
88,Jenny,Bunton,jbunton2f@canalblog.com,Bigender,2021-10-24,Lettuce - Baby Salad Greens,19.9,2,39.8
89,Freida,Buttle,fbuttle2g@ucsd.edu,Agender,2021-10-22,Pie Pecan,6.9,4,27.6
90,Zonda,Sharville,zsharville2h@ihg.com,Female,2021-10-21,"Oregano - Dry, Rubbed",17.1,4,68.4
91,Bentley,Corkett,bcorkett2i@webeden.co.uk,Polygender,2021-10-19,Wine - Tio Pepe Sherry Fino,10.5,1,10.5
92,Pen,Orto,porto2j@cmu.edu,Bigender,2021-10-22,Wine - Riesling Alsace Ac 2001,3.6,1,3.6
93,Lorelei,Durrance,ldurrance2k@webs.com,Agender,2021-10-24,Yoghurt Tubes,18.7,2,37.4
94,Fernandina,Else,felse2l@taobao.com,Non-binary,2021-10-21,Longos - Lasagna Beef,7.9,1,7.9
95,Sebastien,McGloughlin,smcgloughlin2m@mayoclinic.com,Male,2021-10-18,Coriander - Seed,18.8,3,56.400000000000006
96,Maryl,Dalman,mdalman2n@google.co.uk,Agender,2021-10-18,Foil - Round Foil,7.7,4,30.8
97,Nancy,Whelpton,nwhelpton2o@vkontakte.ru,Genderfluid,2021-10-20,Pepperoni Slices,11.2,5,56.0
98,Delilah,Gontier,dgontier2p@over-blog.com,Polygender,2021-10-18,Cheese - Fontina,14.0,4,56.0
99,Rupert,Heffernan,rheffernan2q@booking.com,Non-binary,2021-10-20,"Pasta - Fett Alfredo, Single Serve",2.7,2,5.4
100,Winston,Mault,wmault2r@squarespace.com,Male,2021-10-18,Rice - Wild,3.1,2,6.2
101,Shay,Bellringer,sbellringer2s@loc.gov,Bigender,2021-10-19,Ham - Cooked Italian,14.2,1,14.2
102,Finley,Firbank,ffirbank2t@chron.com,Non-binary,2021-10-22,"Placemat - Scallop, White",9.5,3,28.5
103,Ilyssa,Johnsee,ijohnsee2u@bbc.co.uk,Non-binary,2021-10-23,Bread - Kimel Stick Poly,3.5,2,7.0
104,Miltie,Eddis,meddis2v@tinypic.com,Male,2021-10-20,"Salmon - Atlantic, Fresh, Whole",12.2,3,36.599999999999994
105,Aeriel,Leggatt,aleggatt2w@cyberchimps.com,Male,2021-10-22,Tea - Herbal Sweet Dreams,7.7,1,7.7
106,Kelley,Jeandon,kjeandon2x@patch.com,Agender,2021-10-19,Horseradish - Prepared,18.5,4,74.0
107,Melvyn,Thorpe,mthorpe2y@unc.edu,Bigender,2021-10-19,"Quail - Whole, Bone - In",5.9,4,23.6
108,Ashley,Viles,aviles2z@merriam-webster.com,Non-binary,2021-10-18,Soup - Verve - Chipotle Chicken,9.7,1,9.7
109,Liz,Zylberdik,lzylberdik30@mail.ru,Polygender,2021-10-24,Crackers - Melba Toast,19.0,2,38.0
110,Ulises,Foulsham,ufoulsham31@acquirethisname.com,Female,2021-10-22,"Mushrooms - Black, Dried",15.8,2,31.6
111,Darda,Bussens,dbussens32@sourceforge.net,Female,2021-10-22,"Pasta - Shells, Medium, Dry",4.7,5,23.5
112,Kelbee,Cockley,kcockley33@europa.eu,Female,2021-10-21,Crackers - Melba Toast,7.6,4,30.4
113,Neel,Tenny,ntenny34@virginia.edu,Genderqueer,2021-10-21,"Octopus - Baby, Cleaned",2.4,4,9.6
114,Kelley,Roubert,kroubert35@rambler.ru,Non-binary,2021-10-21,Coffee - Egg Nog Capuccino,9.5,1,9.5
115,Zita,Brand,zbrand36@time.com,Bigender,2021-10-21,Sesame Seed,11.5,3,34.5
116,Rica,Skarman,rskarman37@nih.gov,Non-binary,2021-10-21,"Soup - Knorr, Country Bean",11.0,2,22.0
117,Boone,Flement,bflement38@ucla.edu,Bigender,2021-10-18,"Brandy - Orange, Mc Guiness",7.5,5,37.5
118,Say,Barkes,sbarkes39@theguardian.com,Bigender,2021-10-23,"Water, Tap",13.9,1,13.9
119,Fran,Dawnay,fdawnay3a@usda.gov,Polygender,2021-10-19,Wine - Magnotta - Cab Sauv,9.7,3,29.099999999999998
120,Vickie,Skelbeck,vskelbeck3b@home.pl,Female,2021-10-21,Wine - Cava Aria Estate Brut,17.0,5,85.0
121,Ferdinand,Detoile,fdetoile3c@mail.ru,Genderfluid,2021-10-23,"Bread - Rolls, Corn",19.7,2,39.4
122,Gusella,Lockart,glockart3d@booking.com,Agender,2021-10-20,Wine - Jackson Triggs Okonagan,14.2,3,42.599999999999994
123,Dido,Thirtle,dthirtle3e@freewebs.com,Non-binary,2021-10-21,Cocoa Feuilletine,12.3,4,49.2
124,Shea,Twidale,stwidale3f@unesco.org,Genderfluid,2021-10-19,Ham - Proscuitto,2.1,3,6.300000000000001
125,Wynnie,Phonix,wphonix3g@newyorker.com,Male,2021-10-19,Muffin Mix - Carrot,15.4,1,15.4
126,Gunar,Sabbins,gsabbins3h@techcrunch.com,Non-binary,2021-10-22,Clam - Cherrystone,19.3,3,57.900000000000006
127,Cornelius,Kleinpeltz,ckleinpeltz3i@washingtonpost.com,Genderfluid,2021-10-22,Straws - Cocktale,15.3,1,15.3
128,Moselle,Clery,mclery3j@dagondesign.com,Genderfluid,2021-10-19,Pork - Belly Fresh,1.5,3,4.5
129,Nilson,Woodroffe,nwoodroffe3k@opera.com,Polygender,2021-10-20,Fuji Apples,15.1,1,15.1
130,Fair,MacKereth,fmackereth3l@bbb.org,Genderqueer,2021-10-19,Cassis,18.5,5,92.5
131,Nicoli,Kornalik,nkornalik3m@dmoz.org,Male,2021-10-21,Bread - Rye,13.6,4,54.4
132,Brigitte,Attersoll,battersoll3n@yolasite.com,Genderqueer,2021-10-22,Vanilla Beans,8.7,1,8.7
133,Jasmina,Tumbridge,jtumbridge3o@creativecommons.org,Non-binary,2021-10-18,Pear - Prickly,19.0,5,95.0
134,Benny,Kwietak,bkwietak3p@csmonitor.com,Female,2021-10-18,Beer - Rickards Red,5.5,4,22.0
135,Krystyna,Canape,kcanape3q@sohu.com,Genderqueer,2021-10-24,Veal - Provimi Inside,1.5,4,6.0
136,Marion,Farebrother,mfarebrother3r@eventbrite.com,Non-binary,2021-10-22,"Vermouth - White, Cinzano",14.5,3,43.5
137,Cecil,Careless,ccareless3s@barnesandnoble.com,Agender,2021-10-21,Flour - Fast / Rapid,13.0,1,13.0
138,Tobye,Phare,tphare3t@nps.gov,Female,2021-10-24,Apple - Granny Smith,2.1,3,6.300000000000001
139,Laurette,Grombridge,lgrombridge3u@intel.com,Male,2021-10-22,Sausage - Blood Pudding,17.0,5,85.0
140,Victoir,Linkin,vlinkin3v@marriott.com,Bigender,2021-10-23,Beans - French,6.3,1,6.3
141,Thaddus,Cutchie,tcutchie3w@ftc.gov,Polygender,2021-10-20,Onions - Vidalia,3.0,2,6.0
142,Valentine,Cottee,vcottee3x@ameblo.jp,Polygender,2021-10-24,Cheese Cloth,15.4,1,15.4
143,Laureen,Randell,lrandell3y@angelfire.com,Female,2021-10-18,Boogies,3.0,3,9.0
144,Skippie,Faldoe,sfaldoe3z@dropbox.com,Male,2021-10-23,Wine - Cotes Du Rhone,1.3,1,1.3
145,Jannel,Behagg,jbehagg40@ox.ac.uk,Genderfluid,2021-10-21,Lamb Leg - Bone - In Nz,10.4,1,10.4
146,Elna,Barkworth,ebarkworth41@hugedomains.com,Non-binary,2021-10-22,"Nut - Cashews, Whole, Raw",16.2,4,64.8
147,Jobie,Bruneau,jbruneau42@nature.com,Bigender,2021-10-18,"Mop Head - Cotton, 24 Oz",12.4,2,24.8
148,Jonah,Naul,jnaul43@fotki.com,Male,2021-10-24,Cake - Box Window 10x10x2.5,6.7,5,33.5
149,Keelia,Scrowson,kscrowson44@cloudflare.com,Male,2021-10-19,Corn - Mini,5.4,3,16.200000000000003
150,Torie,Jecock,tjecock45@netvibes.com,Genderqueer,2021-10-21,"Cheese - Cheddar, Mild",7.3,5,36.5
151,Bianka,Jost,bjost46@eepurl.com,Agender,2021-10-23,Amarula Cream,3.7,4,14.8
152,Clemmy,McGarel,cmcgarel47@gnu.org,Agender,2021-10-21,Island Oasis - Magarita Mix,5.0,3,15.0
153,Deborah,McKinnon,dmckinnon48@nationalgeographic.com,Female,2021-10-20,"Lamb - Leg, Bone In",7.2,1,7.2
154,Robbert,Astie,rastie49@newsvine.com,Agender,2021-10-24,Jameson - Irish Whiskey,19.3,1,19.3
155,Massimo,Seeger,mseeger4a@blogspot.com,Male,2021-10-22,Pastry - Carrot Muffin - Mini,12.6,1,12.6
156,Wyn,Drinkel,wdrinkel4b@businessweek.com,Female,2021-10-21,"Juice - V8, Tomato",12.6,1,12.6
157,Malcolm,Creber,mcreber4c@woothemes.com,Non-binary,2021-10-19,"Bar Mix - Pina Colada, 355 Ml",9.2,3,27.599999999999998
158,Lauryn,Macauley,lmacauley4d@qq.com,Male,2021-10-23,Wine - Pinot Noir Latour,16.7,1,16.7
159,Jacobo,Kennefick,jkennefick4e@yahoo.com,Genderqueer,2021-10-21,Buffalo - Tenderloin,9.2,2,18.4
160,Dode,Hildrew,dhildrew4f@lycos.com,Male,2021-10-20,Crackers - Trio,16.7,3,50.099999999999994
161,Desiri,Palphramand,dpalphramand4g@hao123.com,Genderqueer,2021-10-20,Cookie Dough - Double,4.1,2,8.2
162,Terza,Plaskitt,tplaskitt4h@rediff.com,Genderfluid,2021-10-23,Oven Mitts 17 Inch,18.6,5,93.0
163,Amble,Cannam,acannam4i@angelfire.com,Agender,2021-10-21,Ice Cream - Vanilla,18.8,4,75.2
164,Nobe,Garthside,ngarthside4j@skyrock.com,Male,2021-10-21,Cleaner - Lime Away,9.4,3,28.200000000000003
165,Georgiana,Ailmer,gailmer4k@lulu.com,Agender,2021-10-21,Bread - Onion Focaccia,6.3,4,25.2
166,Brant,Catlow,bcatlow4l@java.com,Male,2021-10-21,"Soup - Campbells, Cream Of",17.5,5,87.5
167,Giovanna,Knowller,gknowller4m@slideshare.net,Male,2021-10-24,Tobasco Sauce,9.1,2,18.2
168,Phyllys,Pringle,ppringle4n@who.int,Male,2021-10-21,Beef Tenderloin Aaa,3.9,1,3.9
169,Kelcy,Glavias,kglavias4o@mayoclinic.com,Agender,2021-10-23,Coffee - Irish Cream,4.7,5,23.5
170,Alfie,Hamments,ahamments4p@un.org,Male,2021-10-23,Sauce - Cranberry,12.4,4,49.6
171,Arabelle,Scroggs,ascroggs4q@yale.edu,Agender,2021-10-24,"Cheese - Cheddar, Old White",14.6,2,29.2
172,Eldon,Gyngyll,egyngyll4r@theatlantic.com,Female,2021-10-18,Wine - Sake,7.2,2,14.4
173,Jayne,Zaple,jzaple4s@ocn.ne.jp,Bigender,2021-10-24,Cheese - Bocconcini,1.5,1,1.5
174,Florance,Kleszinski,fkleszinski4t@prweb.com,Bigender,2021-10-20,Coffee Beans - Chocolate,7.4,3,22.200000000000003
175,Jammal,Bigland,jbigland4u@slate.com,Genderfluid,2021-10-19,Sauce - Hp,19.1,2,38.2
176,Thorvald,Deavall,tdeavall4v@goo.ne.jp,Female,2021-10-20,Dr. Pepper - 355ml,11.1,3,33.3
177,Cirilo,Lenahan,clenahan4w@jimdo.com,Agender,2021-10-21,"Mushroom - Porcini, Dry",11.4,4,45.6
178,Gaylene,Mapstone,gmapstone4x@prlog.org,Bigender,2021-10-19,Steampan - Foil,17.7,4,70.8
179,Hamid,Haimes,hhaimes4y@mashable.com,Male,2021-10-21,"Wine - Magnotta, Merlot Sr Vqa",16.4,1,16.4
180,Cordy,Rubert,crubert4z@github.com,Agender,2021-10-24,"Pepper - Black, Whole",1.3,2,2.6
181,Martita,Fulloway,mfulloway50@constantcontact.com,Female,2021-10-19,Chinese Lemon Pork,3.3,1,3.3
182,Marlo,Lovel,mlovel51@imgur.com,Polygender,2021-10-20,Rappini - Andy Boy,1.6,5,8.0
183,Cari,Mendel,cmendel52@posterous.com,Polygender,2021-10-20,Tarragon - Fresh,1.6,1,1.6
184,Ruttger,Graalmans,rgraalmans53@ehow.com,Genderfluid,2021-10-21,"Pineapple - Canned, Rings",18.1,4,72.4
185,Adey,Blaylock,ablaylock54@vimeo.com,Genderfluid,2021-10-20,Water Chestnut - Canned,12.3,1,12.3
186,Tarra,Chedzoy,tchedzoy55@tamu.edu,Genderfluid,2021-10-22,Wine - Black Tower Qr,15.9,2,31.8
187,Leland,Ryland,lryland56@bigcartel.com,Polygender,2021-10-23,"Wine - White, Pinot Grigio",17.2,2,34.4
188,Jannel,Hoggan,jhoggan57@amazon.com,Non-binary,2021-10-21,Allspice - Jamaican,4.3,2,8.6
189,Jamie,Dodd,jdodd58@princeton.edu,Non-binary,2021-10-19,"Pasta - Elbows, Macaroni, Dry",14.8,2,29.6
190,Kimmie,Turfus,kturfus59@fc2.com,Agender,2021-10-21,"Cheese - Boursin, Garlic / Herbs",12.6,4,50.4
191,Garwood,Filintsev,gfilintsev5a@google.com.br,Male,2021-10-22,"Chicken - Wings, Tip Off",9.5,5,47.5
192,Barb,Giovanazzi,bgiovanazzi5b@techcrunch.com,Male,2021-10-19,Coffee - Egg Nog Capuccino,13.2,3,39.599999999999994
193,Melamie,Weymont,mweymont5c@disqus.com,Female,2021-10-18,"Sauce - White, Mix",14.4,3,43.2
194,Hermie,Sunner,hsunner5d@npr.org,Female,2021-10-23,Huck Towels White,5.5,3,16.5
195,Al,Mongain,amongain5e@bloglines.com,Non-binary,2021-10-19,Wine - Barossa Valley Estate,12.4,2,24.8
196,Garland,Odlin,godlin5f@youtube.com,Bigender,2021-10-20,Yoplait - Strawbrasp Peac,2.1,2,4.2
197,Alexandr,Farndon,afarndon5g@wordpress.org,Agender,2021-10-20,"Beer - Alexander Kieths, Pale Ale",11.2,2,22.4
198,Andy,Rylett,arylett5h@slate.com,Genderfluid,2021-10-22,Frangelico,10.5,2,21.0
199,Brigitte,Castledine,bcastledine5i@yahoo.co.jp,Genderfluid,2021-10-22,Cocoa Feuilletine,13.0,3,39.0
200,Maegan,Bonus,mbonus5j@sciencedaily.com,Genderfluid,2021-10-19,Celery Root,11.6,1,11.6
201,Lucretia,Kealy,lkealy5k@nytimes.com,Male,2021-10-20,Dill Weed - Fresh,14.5,2,29.0
202,Cherlyn,Bennet,cbennet5l@tmall.com,Genderqueer,2021-10-18,Scallops 60/80 Iqf,6.7,5,33.5
203,Krissy,Tschersich,ktschersich5m@deviantart.com,Bigender,2021-10-20,Honey - Comb,6.3,2,12.6
204,Annamarie,Denholm,adenholm5n@tamu.edu,Female,2021-10-22,"Cookies - Oreo, 4 Pack",10.7,3,32.099999999999994
205,Celinka,Byass,cbyass5o@google.fr,Non-binary,2021-10-22,"Syrup - Monin, Swiss Choclate",12.6,4,50.4
206,Fidel,Whitewood,fwhitewood5p@biblegateway.com,Polygender,2021-10-24,"Tortillas - Flour, 10",11.5,5,57.5
207,Robby,Matous,rmatous5q@google.com,Agender,2021-10-22,"Rosemary - Primerba, Paste",19.4,4,77.6
208,Adel,Luffman,aluffman5r@globo.com,Male,2021-10-18,Extract - Lemon,17.5,3,52.5
209,Caspar,Ughelli,cughelli5s@thetimes.co.uk,Bigender,2021-10-18,Beer - Steamwhistle,8.0,2,16.0
210,Jesus,Worsnup,jworsnup5t@eepurl.com,Non-binary,2021-10-21,"Olives - Green, Pitted",16.5,3,49.5
211,Charlie,Loughren,cloughren5u@mysql.com,Male,2021-10-21,Basil - Fresh,14.8,5,74.0
212,Jameson,Fayter,jfayter5v@geocities.jp,Agender,2021-10-22,Steel Wool,10.8,4,43.2
213,Minna,Lainge,mlainge5w@amazon.co.jp,Genderfluid,2021-10-22,Beer - True North Lager,18.3,2,36.6
214,Pauli,Le Maitre,plemaitre5x@odnoklassniki.ru,Agender,2021-10-22,Gatorade - Lemon Lime,11.3,2,22.6
215,Marty,Coale,mcoale5y@desdev.cn,Non-binary,2021-10-19,Daikon Radish,9.0,3,27.0
216,Vittorio,Moline,vmoline5z@google.de,Bigender,2021-10-24,Bread - White Epi Baguette,12.7,5,63.5
217,Bald,McLoney,bmcloney60@seesaa.net,Non-binary,2021-10-19,Bread - Flat Bread,15.5,5,77.5
218,Yolane,Vinnicombe,yvinnicombe61@ifeng.com,Female,2021-10-23,Lemon Pepper,18.0,4,72.0
219,Avrit,Filipic,afilipic62@booking.com,Male,2021-10-20,"Salt - Rock, Course",11.3,2,22.6
220,Deana,Tuther,dtuther63@behance.net,Genderqueer,2021-10-21,Quinoa,6.8,3,20.4
221,Gregory,Bertin,gbertin64@parallels.com,Bigender,2021-10-20,Sprouts - China Rose,7.3,3,21.9
222,Jarrid,Laurisch,jlaurisch65@miitbeian.gov.cn,Male,2021-10-24,"Lemonade - Natural, 591 Ml",16.3,2,32.6
223,Timmie,Cicchitello,tcicchitello66@dmoz.org,Genderfluid,2021-10-24,Gatorade - Xfactor Berry,14.6,5,73.0
224,Daphne,Sandwick,dsandwick67@ehow.com,Bigender,2021-10-21,Cheese - Camembert,14.2,2,28.4
225,Georges,Masarrat,gmasarrat68@house.gov,Female,2021-10-24,Ecolab - Mikroklene 4/4 L,15.4,2,30.8
226,Hewett,Jori,hjori69@omniture.com,Agender,2021-10-23,Pastry - Banana Muffin - Mini,6.1,2,12.2
